0.0 20.0 1.0
Linear 3 explicit
 0.710000 -0.014714283014119303 6.106658055656581 -17.187483646381324
 0.720000 -0.014691672767276266 6.122776277518824 -17.26147324055486
 0.730000 -0.014668397132796804 6.138710514342044 -17.334580375592374
 0.740000 -0.014647796778421013 6.154465123126215 -17.406828367445073
 0.750000 -0.014628594503086602 6.170045365566963 -17.478237483810016
 0.760000 -0.01460768897852804 6.185457213552539 -17.548824430551228
 0.770000 -0.014585074233131615 6.200706768405254 -17.61860326617871
 0.780000 -0.014563231790971659 6.215799656884315 -17.687586956188284
 0.790000 -0.014542951733772963 6.230740688043909 -17.75578873628004
 0.800000 -0.014522511304753696 6.245533864148641 -17.823222769873784
 0.810000 -0.014500794736644807 6.260182649909943 -17.88990402134031
 0.820000 -0.014478865935933331 6.274690311489259 -17.955847621657732
 0.830000 -0.014457906521201214 6.289060159611452 -18.021068156873426
 0.840000 -0.014437396276866316 6.303295621796259 -18.085579233534865
 0.850000 -0.014416285830844644 6.317400164004873 -18.149393448711297
 0.860000 -0.014394740150207648 6.331377142300376 -18.212522664379744
 0.870000 -0.014373624306722088 6.34522967665589 -18.274978375278142
 0.880000 -0.014353003684938293 6.3589606060237 -18.336771982928894
 0.890000 -0.014332223970043956 6.372572528446888 -18.397914886480795
 0.900000 -0.014311112058084177 6.386067885815265 -18.458418406133077
 0.910000 -0.014290150024885328 6.399449042319411 -18.518293626110996
 0.920000 -0.014269563206182863 6.412718324627306 -18.577551260634316
 0.930000 -0.014249021777968133 6.4258780195875715 -18.636201607917823
 0.940000 -0.014228304566235176 6.438930345422406 -18.694254593367834
 0.950000 -0.014207636692597898 6.451877419969989 -18.75171985688843
 0.960000 -0.014187222409323881 6.464721245196166 -18.808606832341354
 0.970000 -0.01416691863364937 6.477463714170177 -18.8649247884303
 0.980000 -0.01414655569844632 6.490106632764288 -18.920682827236032
 0.990000 -0.014126227701905053 6.502651742320587 -18.97588985661735
 1.000000 -0.014106076072203804 6.5151007333808195 -19.03055456124119
 1.010000 -0.014086044472507442 6.527455248467788 -19.08468539172378
 1.020000 -0.014066023435323115 6.539716877651998 -19.138290575965897
 1.030000 -0.01404604992328733 6.551887152663539 -19.1913781427903
 1.040000 -0.01402621064352006 6.563967544491518 -19.243955944578772
 1.050000 -0.014006483845710125 6.5759594664369985 -19.296031671013214
 1.060000 -0.013986804942137096 6.587864280890486 -19.347612852943495
 1.070000 -0.01396718953958219 6.599683306232144 -19.398706859980592
 1.080000 -0.01394768763052609 6.611417821279481 -19.449320897449624
 1.090000 -0.013928289355337863 6.623069066973883 -19.499462007419226
 1.100000 -0.013908958272024473 6.634638246442378 -19.54913707483346
 1.110000 -0.013889702596966038 6.646126524845812 -19.59835283615328
 1.120000 -0.013870549937404372 6.657535030100711 -19.647115887218852
 1.130000 -0.01385149415762725 6.6688648548437115 -19.69543268874716
 1.140000 -0.013832515459089603 6.680117059112391 -19.743309569613167
 1.150000 -0.013813619480093884 6.691292672811663 -19.790752728887618
 1.160000 -0.013794820785601552 6.702392697425225 -19.837768237886475
 1.170000 -0.013776114563216306 6.713418107064385 -19.88436204320334
 1.180000 -0.0137574904923266 6.724369849222285 -19.930539970762794
 1.190000 -0.01373895282288919 6.7352488455497195 -19.97630773011921
 1.200000 -0.013720508648781276 6.746055992844866 -20.021670918269223
 1.210000 -0.013702154064672881 6.756792164275289 -20.06663502280537
 1.220000 -0.013683884059829766 6.767458210653956 -20.11120542459462
 1.230000 -0.013665701710041504 6.77805496155009 -20.155387400235746
 1.240000 -0.013647609938413293 6.78858322617225 -20.199186124553954
 1.250000 -0.013629605748252577 6.799043794108691 -20.242606673287547
 1.260000 -0.013611686957810912 6.8094374360231384 -20.28565402588225
