#DH parameters for mouth opening
theta1 d2 d3 d4
1.30311152976 0.0463 -1.9215 3.1034
1.61380968426 0.0583 -2.272 3.7731
1.61380968426 0.0583 -2.272 3.7731
1.92353823024 0.0698 -2.5812 4.3998
1.92353823024 0.0698 -2.5812 4.3998
2.24034795554 0.0806 -2.8446 4.9647
2.24034795554 0.0806 -2.8446 4.9647
2.58326845127 0.0903 -3.0558 5.4398
2.58326845127 0.0903 -3.0558 5.4398
2.96891312776 0.0986 -3.2085 5.8033
2.96891312776 0.0986 -3.2085 5.8033
3.40519195712 0.1047 -3.2988 6.0193
3.40519195712 0.1047 -3.2988 6.0193
3.91696439252 0.1092 -3.3356 6.1128
3.91696439252 0.1092 -3.3356 6.1128
4.50993309264 0.112 -3.323 6.0806
4.50993309264 0.112 -3.323 6.0806
5.17081664321 0.112 -3.2516 5.9054
5.17081664321 0.112 -3.2516 5.9054
5.86289195552 0.1079 -3.1036 5.5529
5.86289195552 0.1079 -3.1036 5.5529
6.57093459959 0.1003 -2.8886 5.0619
6.57093459959 0.1003 -2.8886 5.0619
7.27552653681 0.0903 -2.6264 4.4933
7.27552653681 0.0903 -2.6264 4.4933
7.96742815206 0.0801 -2.3531 3.9322
7.96742815206 0.0801 -2.3531 3.9322
8.64043932358 0.071 -2.1015 3.4401
8.64043932358 0.071 -2.1015 3.4401
9.35283918739 0.0615 -1.9226 3.1027
9.35283918739 0.0615 -1.9226 3.1027
10.0991627397 0.0544 -1.8252 2.923
10.0991627397 0.0544 -1.8252 2.923
10.7885655648 0.049 -1.7441 2.778
10.7885655648 0.049 -1.7441 2.778
11.4137177225 0.045 -1.6806 2.6646
11.4137177225 0.045 -1.6806 2.6646
11.9707585624 0.0418 -1.629 2.5723
11.9707585624 0.0418 -1.629 2.5723
